instancja	l_wykonan	naj_rozw.	dokladnosc [%]	sredni_blad [%]	naj_sciezka	czas [s]	temp_pocz.	wsp_chlodz.	schem_chlodz.	rozw_w_sasiedztwie	limit_epok	
brasil58.tsp	5	26263	97	9.6	(0, 17, 43, 57, 23, 56, 22, 4, 26, 11, 42, 48, 46, 50, 51, 9, 34, 47, 37, 6, 30, 41, 15, 10, 38, 28, 35, 16, 25, 18, 5, 13, 36, 14, 33, 45, 55, 44, 32, 27, 20, 2, 40, 1, 53, 54, 7, 21, 3, 49, 52, 19, 31, 8, 24, 39, 12, 29, 0)	43,51	100000	0.999	Geo	Swap	100	
brg180.tsp	2	4050	48	63.5	(0, 57, 56, 55, 155, 14, 101, 102, 103, 149, 150, 151, 152, 70, 156, 13, 148, 147, 136, 1, 134, 133, 43, 61, 62, 169, 74, 59, 87, 108, 8, 65, 28, 27, 63, 64, 164, 60, 71, 154, 52, 51, 10, 138, 137, 3, 4, 98, 97, 24, 35, 106, 47, 36, 76, 17, 163, 162, 7, 128, 127, 165, 166, 67, 68, 69, 33, 178, 15, 16, 6, 44, 112, 104, 12, 23, 157, 40, 39, 159, 38, 115, 107, 125, 32, 176, 177, 66, 171, 172, 20, 144, 105, 45, 158, 126, 25, 26, 100, 120, 131, 53, 80, 81, 21, 179, 78, 135, 11, 129, 54, 123, 72, 83, 41, 42, 140, 139, 94, 93, 50, 49, 110, 175, 174, 173, 5, 111, 92, 91, 19, 77, 132, 143, 79, 168, 75, 18, 86, 160, 22, 99, 145, 146, 2, 153, 9, 113, 114, 170, 116, 117, 118, 119, 85, 84, 95, 29, 30, 31, 88, 161, 124, 34, 96, 37, 109, 46, 82, 48, 121, 122, 58, 130, 73, 141, 142, 90, 89, 167, 0)	10,45	100000	0.99	Geo	Swap	100	
swiss42.tsp	5	1309	97	7.4	(0, 32, 34, 33, 20, 35, 36, 31, 17, 7, 37, 15, 16, 14, 19, 13, 26, 18, 12, 11, 25, 10, 8, 9, 41, 23, 40, 24, 21, 39, 22, 38, 30, 29, 28, 27, 2, 3, 4, 5, 6, 1, 0)	36,79	100000	0.999	Geo	Swap	100	
swiss42.tsp	10	1338	95	8.4	(0, 32, 30, 29, 9, 41, 23, 40, 24, 21, 39, 22, 38, 34, 33, 20, 35, 36, 31, 17, 7, 37, 15, 16, 14, 19, 13, 5, 26, 18, 12, 11, 25, 10, 8, 28, 27, 2, 3, 4, 6, 1, 0)	81,79	100000	0.999	Geo	Swap	120	
swiss42.tsp	10	1355	144	-35.9	(0, 1, 4, 3, 2, 27, 28, 30, 29, 9, 8, 10, 18, 12, 11, 25, 41, 23, 40, 24, 21, 39, 22, 38, 32, 34, 33, 20, 35, 36, 31, 17, 7, 37, 15, 16, 14, 19, 13, 5, 26, 6, 0)	73,27	100000	0.999	Geo	Swap	100	
ftv70.atsp	5	2337	83	22.4	(0, 25, 11, 10, 58, 61, 57, 59, 5, 27, 6, 17, 64, 24, 26, 23, 60, 33, 35, 34, 32, 29, 30, 31, 44, 65, 1, 2, 45, 53, 43, 42, 69, 41, 37, 38, 36, 63, 40, 68, 67, 49, 47, 39, 48, 51, 50, 52, 46, 62, 54, 55, 56, 70, 3, 4, 8, 7, 9, 13, 66, 14, 12, 15, 20, 21, 22, 18, 19, 16, 28, 0)	50,6	100000	0.999	Geo	Swap	100	
ftv70.atsp	5	2226	88	15.2	(0, 64, 17, 21, 22, 18, 19, 20, 23, 60, 33, 35, 34, 69, 41, 37, 38, 36, 63, 43, 42, 32, 26, 25, 27, 6, 9, 11, 10, 58, 61, 59, 8, 7, 13, 66, 14, 12, 15, 16, 28, 65, 1, 2, 44, 45, 53, 52, 46, 62, 47, 39, 40, 68, 49, 48, 67, 51, 50, 54, 55, 56, 70, 57, 3, 4, 5, 31, 30, 29, 24, 0)	45,07	100000	0.999	Lin	Swap	100	
ftv70.atsp	5	2194	89	13.8	(0, 45, 48, 51, 50, 67, 49, 47, 39, 43, 42, 32, 26, 18, 21, 22, 66, 14, 12, 15, 16, 17, 64, 24, 25, 27, 6, 7, 9, 11, 10, 58, 61, 59, 57, 52, 53, 44, 65, 1, 2, 70, 3, 4, 8, 13, 19, 20, 23, 60, 33, 35, 69, 41, 37, 38, 34, 36, 63, 40, 68, 46, 62, 54, 55, 56, 5, 28, 29, 30, 31, 0)	85,4	100000	0.999	Lin	Swap	100	
ftv64.atsp	5	1996	92	13.2	(0, 50, 54, 61, 1, 37, 2, 4, 39, 7, 36, 8, 40, 41, 9, 42, 43, 44, 11, 12, 35, 20, 21, 48, 49, 22, 23, 59, 25, 63, 55, 33, 56, 29, 53, 62, 52, 51, 24, 30, 31, 32, 28, 27, 26, 19, 46, 45, 10, 60, 13, 14, 47, 5, 6, 57, 58, 34, 64, 38, 3, 15, 16, 17, 18, 0)	80,6	100000	0.999	Lin	Swap	100	
ftv64.atsp	5	2059	89	19.8	(0, 61, 50, 30, 53, 31, 62, 52, 51, 24, 23, 49, 22, 59, 25, 26, 21, 48, 35, 20, 19, 46, 43, 9, 42, 11, 45, 12, 44, 10, 14, 47, 6, 57, 58, 38, 2, 4, 39, 5, 7, 36, 8, 40, 41, 60, 15, 13, 16, 17, 18, 28, 27, 63, 29, 55, 33, 64, 34, 56, 32, 54, 1, 37, 3, 0)	44,09	100000	0.999	Geo	Swap	100	
ftv64.atsp	5	2193	84	17.6	(0, 27, 26, 52, 51, 24, 23, 19, 46, 45, 42, 43, 44, 11, 12, 35, 20, 21, 48, 49, 22, 59, 25, 63, 29, 32, 54, 28, 61, 17, 16, 18, 1, 37, 14, 47, 8, 40, 41, 9, 10, 36, 7, 60, 13, 15, 50, 55, 31, 62, 30, 53, 33, 38, 2, 4, 39, 5, 6, 57, 58, 34, 56, 64, 3, 0)	47,6	100000	0.999	Geo	Swap	100	
ftv64.atsp	5	2243	82	20.2	(0, 50, 29, 52, 53, 31, 62, 51, 24, 30, 55, 33, 56, 34, 4, 5, 6, 57, 58, 3, 14, 47, 36, 40, 41, 9, 43, 44, 12, 35, 20, 21, 48, 19, 46, 45, 42, 11, 15, 61, 1, 37, 64, 38, 2, 39, 7, 8, 10, 60, 13, 16, 17, 18, 28, 27, 26, 23, 49, 22, 59, 25, 63, 32, 54, 0)	32,59	100000	0.999	Geo	Swap	64	
ftv64.atsp	5	5243	35	66.0	(0, 45, 37, 3, 14, 39, 7, 5, 47, 40, 42, 60, 10, 43, 46, 8, 13, 17, 16, 61, 20, 21, 48, 59, 49, 25, 63, 19, 26, 27, 52, 53, 62, 29, 56, 57, 22, 41, 64, 2, 6, 9, 11, 12, 44, 36, 15, 18, 1, 35, 23, 54, 24, 30, 31, 28, 33, 38, 58, 34, 51, 50, 32, 55, 4, 0)	0,01	100000	0.999	Lin	Swap	64	
ftv64.atsp	5	5255	35	65.4	(0, 43, 37, 3, 14, 39, 7, 5, 47, 40, 42, 60, 45, 35, 46, 8, 13, 17, 16, 61, 20, 21, 48, 59, 49, 25, 63, 19, 26, 27, 52, 53, 62, 29, 56, 57, 22, 41, 64, 2, 6, 9, 10, 11, 44, 12, 36, 15, 18, 23, 24, 54, 30, 51, 31, 28, 33, 38, 58, 34, 32, 1, 50, 55, 4, 0)	0,01	100000	0.999	Lin	Swap	64	
ftv64.atsp	5	2046	90	17.4	(0, 15, 60, 10, 13, 16, 17, 18, 61, 1, 37, 38, 3, 14, 47, 6, 39, 5, 7, 36, 8, 40, 41, 9, 42, 43, 44, 11, 12, 35, 20, 19, 46, 45, 21, 48, 24, 51, 30, 53, 31, 62, 52, 32, 54, 28, 50, 27, 26, 22, 23, 49, 59, 25, 63, 29, 55, 33, 56, 64, 34, 57, 58, 4, 2, 0)	31,1	100000	0.999	Lin	Swap	64	
ftv64.atsp	5	2200	84	22.8	(0, 18, 17, 16, 13, 46, 45, 10, 42, 43, 44, 11, 15, 61, 1, 38, 2, 3, 37, 28, 50, 54, 27, 26, 21, 19, 12, 35, 20, 48, 23, 49, 22, 59, 25, 63, 29, 32, 62, 52, 51, 24, 30, 53, 31, 55, 33, 56, 64, 57, 58, 34, 4, 39, 36, 8, 40, 41, 9, 60, 14, 47, 5, 6, 7, 0)	31,38	100000	0.999	Geo	Swap	64	
ftv64.atsp	5	2224	83	22.0	(0, 15, 60, 10, 42, 11, 45, 12, 35, 19, 20, 21, 48, 22, 23, 49, 59, 25, 63, 55, 32, 29, 51, 24, 62, 52, 30, 53, 31, 33, 2, 4, 39, 7, 36, 8, 40, 41, 9, 43, 44, 14, 47, 5, 6, 57, 58, 34, 56, 64, 38, 3, 17, 16, 18, 1, 37, 28, 50, 54, 61, 27, 26, 46, 13, 0)	19,15	1000	0.999	Geo	Swap	64	
ftv64.atsp	5	2546	72	31.2	(0, 28, 50, 26, 46, 43, 44, 12, 35, 20, 21, 48, 22, 23, 49, 59, 25, 63, 33, 34, 57, 58, 56, 32, 54, 27, 19, 42, 11, 45, 61, 1, 37, 64, 38, 4, 39, 6, 2, 3, 15, 14, 47, 5, 7, 10, 13, 60, 36, 8, 40, 41, 9, 16, 17, 18, 29, 52, 53, 31, 62, 51, 24, 30, 55, 0)	6,61	1000	0.99	Geo	Swap	64	
ftv64.atsp	5	2464	75	32.0	(0, 50, 54, 1, 37, 4, 8, 40, 41, 60, 28, 27, 26, 63, 29, 25, 22, 23, 49, 59, 24, 21, 48, 35, 20, 19, 12, 44, 11, 45, 42, 43, 9, 10, 16, 17, 18, 61, 15, 13, 46, 36, 7, 58, 34, 56, 64, 38, 2, 3, 14, 47, 39, 5, 6, 57, 53, 62, 52, 51, 30, 31, 55, 33, 32, 0)	7,31	10000	0.99	Geo	Swap	64	
ftv64.atsp	5	2600	71	31.4	(0, 61, 28, 50, 54, 27, 26, 35, 20, 19, 46, 43, 9, 8, 7, 13, 15, 1, 37, 57, 58, 34, 4, 39, 5, 14, 47, 6, 62, 51, 24, 23, 49, 22, 59, 25, 63, 32, 29, 52, 30, 53, 31, 12, 44, 11, 45, 60, 10, 36, 40, 41, 42, 21, 48, 55, 33, 56, 64, 38, 2, 3, 18, 17, 16, 0)	10,73	10000	0.99	Geo	Swap	100	
