instancja	l_wykonan	naj_rozw.	dokladnosc [%]	sredni_blad [%]	czas [s]	temp_pocz.	wsp_chlodz.	schem_chlodz.	rozw_w_sasiedztwie	limit_epok	naj_sciezka	
tsp_10.txt	1	212	100	0.0	0,65	10000	0.999	Geo	Closest	10	(0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0)	
tsp_12.txt	1	264	100	0.0	0,86	10000	0.999	Geo	Closest	10	(0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0)	
tsp_15.txt	1	291	100	0.0	1,28	10000	0.999	Geo	Closest	10	(0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0)	
tsp_20.txt	1	390	99	1.0	2,18	10000	0.999	Geo	Closest	10	(0, 10, 3, 16, 15, 2, 6, 4, 8, 14, 1, 12, 19, 9, 13, 11, 18, 7, 5, 17, 0)	
gr24.tsp	1	1283	99	1.0	2,85	10000	0.999	Geo	Closest	10	(0, 15, 10, 2, 6, 7, 5, 23, 4, 20, 9, 16, 17, 21, 18, 14, 1, 19, 13, 12, 8, 22, 3, 11, 0)	
ftv35.atsp	1	1572	94	6.0	6,08	10000	0.999	Geo	Closest	10	(0, 26, 1, 35, 2, 3, 13, 12, 5, 7, 6, 4, 32, 29, 31, 30, 27, 28, 22, 21, 20, 23, 25, 24, 19, 33, 18, 17, 10, 9, 34, 8, 11, 14, 15, 16, 0)	
ftv55.atsp	1	1770	91	9.0	14,03	10000	0.999	Geo	Closest	10	(0, 33, 52, 17, 16, 15, 14, 12, 39, 11, 38, 10, 7, 32, 8, 36, 37, 9, 51, 13, 35, 4, 6, 5, 47, 48, 3, 31, 29, 26, 25, 42, 21, 22, 50, 24, 18, 19, 20, 40, 41, 23, 54, 27, 49, 45, 44, 28, 53, 43, 30, 46, 55, 34, 1, 2, 0)	
ftv70.atsp	1	2308	84	16.0	22,47	10000	0.999	Geo	Closest	10	(0, 28, 24, 26, 22, 66, 14, 17, 29, 30, 31, 65, 1, 2, 4, 5, 64, 25, 27, 6, 7, 10, 11, 9, 13, 12, 15, 16, 18, 19, 20, 21, 23, 60, 32, 33, 35, 34, 36, 38, 39, 40, 46, 62, 50, 67, 49, 47, 48, 51, 52, 44, 45, 53, 43, 42, 69, 41, 37, 63, 68, 54, 55, 56, 70, 3, 57, 58, 61, 8, 59, 0)	
kro124p.atsp	1	41673	87	13.0	45,71	10000	0.999	Geo	Closest	10	(0, 62, 5, 48, 91, 7, 66, 27, 57, 60, 86, 50, 6, 56, 11, 19, 34, 61, 59, 90, 46, 74, 18, 52, 15, 21, 93, 87, 69, 64, 25, 65, 3, 96, 79, 55, 41, 30, 88, 39, 63, 53, 72, 49, 1, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 38, 84, 67, 43, 68, 24, 8, 22, 44, 31, 14, 16, 10, 20, 58, 73, 71, 9, 83, 37, 23, 98, 35, 17, 78, 89, 92, 80, 29, 47, 13, 40, 99, 70, 2, 42, 45, 28, 33, 82, 54, 26, 85, 76, 97, 0)	
ftv170.atsp	1	3574	77	23.0	144,16	10000	0.999	Geo	Closest	10	(0, 2, 4, 5, 133, 169, 3, 9, 77, 74, 11, 12, 13, 22, 23, 24, 160, 161, 152, 142, 151, 14, 15, 159, 16, 17, 18, 32, 158, 36, 157, 33, 31, 34, 35, 156, 40, 155, 41, 42, 44, 45, 46, 52, 53, 43, 55, 54, 58, 62, 63, 64, 56, 57, 68, 69, 67, 167, 70, 92, 93, 108, 166, 154, 89, 153, 87, 85, 86, 83, 84, 71, 50, 170, 168, 72, 78, 82, 79, 80, 81, 1, 73, 49, 37, 38, 39, 47, 48, 51, 59, 60, 61, 66, 65, 88, 90, 91, 94, 97, 163, 99, 100, 101, 102, 110, 109, 107, 106, 105, 98, 95, 96, 165, 104, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 162, 103, 113, 164, 130, 111, 112, 127, 126, 125, 124, 128, 139, 140, 141, 6, 7, 8, 10, 76, 75, 19, 20, 21, 29, 30, 28, 27, 26, 25, 150, 149, 148, 144, 143, 147, 137, 138, 135, 136, 129, 146, 145, 134, 131, 132, 0)	
