instancja	l_wykonan	naj_rozw.	dokladnosc [%]	sredni_blad [%]	czas [s]	temp_pocz.	wsp_chlodz.	schem_chlodz.	rozw_w_sasiedztwie	limit_epok	naj_sciezka	
tsp_10.txt	5	212	100	0.0	2.18	10000	0.999	Geo	Swap	20	(0, 5, 1, 9, 6, 7, 8, 2, 4, 3, 0)	
tsp_12.txt	5	264	100	0.0	2.35	10000	0.999	Geo	Swap	20	(0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 0)	
tsp_15.txt	5	291	100	0.0	2.51	10000	0.999	Geo	Swap	20	(0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0)	
tsp_20.txt	5	404	96	6.2	2.99	10000	0.999	Geo	Swap	20	(0, 1, 12, 19, 16, 14, 8, 4, 6, 15, 2, 11, 13, 18, 9, 7, 5, 3, 10, 17, 0)	
gr24.tsp	5	1272	100	5.6	2.91	10000	0.999	Geo	Swap	20	(0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 17, 21, 16, 9, 4, 20, 7, 23, 5, 6, 2, 10, 15, 0)	
ftv35.atsp	5	1674	88	15.6	3.69	10000	0.999	Geo	Swap	20	(0, 15, 14, 16, 1, 2, 4, 3, 12, 5, 6, 7, 34, 8, 9, 11, 13, 25, 27, 31, 35, 32, 30, 23, 24, 17, 10, 33, 18, 19, 20, 21, 22, 28, 29, 26, 0)	
ftv55.atsp	5	2022	80	24.2	5.58	10000	0.999	Geo	Swap	20	(0, 33, 2, 17, 16, 15, 39, 19, 42, 21, 22, 41, 50, 23, 54, 30, 46, 48, 3, 4, 6, 5, 47, 31, 55, 34, 1, 52, 25, 24, 20, 40, 18, 37, 36, 9, 11, 38, 32, 8, 7, 10, 51, 12, 13, 35, 14, 27, 49, 45, 44, 28, 53, 43, 29, 26, 0)	
ftv70.atsp	5	2397	81	27.0	6.94	10000	0.999	Geo	Swap	20	(0, 2, 56, 70, 3, 4, 59, 8, 7, 9, 13, 66, 14, 12, 15, 20, 21, 23, 19, 16, 18, 22, 17, 64, 28, 1, 5, 25, 27, 6, 11, 10, 58, 61, 57, 46, 62, 49, 48, 51, 50, 67, 47, 39, 38, 36, 37, 34, 69, 41, 63, 40, 68, 54, 55, 52, 53, 65, 31, 30, 29, 24, 45, 44, 43, 42, 35, 60, 33, 32, 26, 0)	
kro124p.atsp	5	48086	75	28.6	7.81	10000	0.999	Geo	Swap	20	(0, 62, 68, 49, 81, 94, 77, 40, 99, 70, 13, 47, 36, 32, 12, 75, 95, 4, 51, 29, 2, 42, 45, 28, 38, 84, 67, 43, 1, 66, 27, 92, 57, 60, 56, 85, 26, 82, 54, 6, 86, 80, 24, 72, 39, 63, 53, 88, 41, 30, 79, 55, 18, 52, 83, 9, 71, 46, 22, 44, 31, 14, 10, 20, 73, 58, 16, 97, 90, 59, 61, 50, 8, 33, 11, 19, 34, 76, 5, 48, 74, 96, 25, 64, 65, 3, 69, 87, 93, 21, 15, 78, 23, 35, 37, 98, 17, 89, 7, 91, 0)	
ftv170.atsp	5	5262	52	51.2	24.44	10000	0.999	Geo	Swap	20	(0, 110, 109, 108, 166, 107, 98, 95, 97, 100, 124, 128, 126, 125, 129, 146, 145, 141, 14, 13, 17, 38, 39, 156, 40, 45, 73, 77, 1, 112, 164, 127, 130, 138, 139, 140, 10, 76, 36, 157, 55, 54, 58, 60, 50, 51, 59, 49, 20, 22, 21, 29, 28, 30, 33, 35, 34, 52, 53, 43, 57, 62, 63, 64, 56, 48, 74, 75, 37, 11, 12, 18, 19, 158, 32, 27, 26, 151, 9, 169, 111, 113, 115, 116, 117, 102, 103, 163, 90, 89, 88, 153, 96, 104, 135, 6, 7, 8, 23, 24, 25, 150, 160, 152, 142, 134, 132, 133, 80, 81, 2, 3, 4, 5, 106, 105, 99, 101, 123, 162, 122, 121, 120, 118, 119, 137, 136, 147, 148, 149, 161, 144, 143, 15, 159, 16, 31, 155, 41, 42, 44, 46, 47, 170, 168, 72, 82, 79, 78, 71, 61, 68, 67, 66, 65, 83, 84, 69, 85, 167, 70, 87, 92, 91, 154, 86, 93, 94, 165, 114, 131, 0)	
rbg323.atsp	5	1759	75	25.6	44.55	10000	0.999	Geo	Swap	20	(0, 144, 173, 204, 19, 51, 220, 146, 201, 194, 157, 134, 99, 322, 77, 18, 258, 72, 266, 118, 93, 128, 299, 238, 297, 80, 53, 199, 84, 241, 139, 310, 28, 27, 22, 81, 79, 150, 210, 147, 130, 168, 123, 255, 158, 116, 317, 259, 140, 182, 137, 86, 227, 133, 265, 38, 285, 184, 156, 186, 207, 142, 138, 87, 165, 231, 234, 290, 109, 108, 104, 195, 287, 261, 44, 100, 262, 293, 292, 91, 202, 214, 278, 15, 230, 308, 191, 78, 160, 172, 315, 143, 120, 281, 98, 129, 12, 187, 213, 82, 101, 70, 55, 94, 61, 224, 131, 107, 193, 208, 169, 33, 237, 228, 119, 36, 154, 263, 153, 267, 149, 205, 34, 126, 135, 46, 89, 211, 291, 196, 102, 316, 68, 159, 14, 235, 176, 121, 63, 24, 20, 83, 25, 304, 257, 223, 155, 170, 124, 6, 282, 105, 97, 76, 164, 66, 50, 185, 183, 35, 301, 217, 321, 9, 106, 271, 43, 26, 23, 218, 161, 59, 284, 225, 251, 219, 3, 232, 200, 114, 65, 32, 190, 60, 277, 73, 58, 289, 4, 252, 206, 174, 226, 283, 42, 7, 240, 171, 162, 163, 245, 45, 41, 294, 313, 242, 62, 69, 10, 295, 311, 244, 90, 13, 320, 111, 148, 180, 239, 117, 30, 302, 216, 236, 300, 75, 286, 57, 103, 181, 275, 274, 177, 188, 314, 248, 141, 198, 47, 243, 276, 67, 288, 40, 2, 136, 268, 29, 21, 11, 167, 221, 96, 48, 88, 54, 253, 312, 8, 249, 215, 132, 178, 145, 85, 319, 113, 52, 203, 222, 1, 229, 175, 125, 272, 247, 31, 74, 192, 279, 127, 307, 305, 37, 179, 17, 115, 260, 49, 152, 296, 254, 256, 309, 280, 250, 56, 64, 92, 95, 264, 246, 212, 122, 16, 110, 273, 318, 298, 151, 269, 303, 189, 306, 5, 166, 112, 39, 197, 71, 233, 209, 270, 0)	
